range_m,freq_hz,TL_db
1000,2906.25,60.19434585710888
1000,2937.5,60.19657314933771
1000,2968.75,60.198815734772786
1000,3000.0,60.201073813579946
1000,3031.25,60.20334757753053
1000,3062.5,60.20563721037895
1000,3093.75,60.20794288822221
1000,3125.0,60.2102647798421
1000,3156.25,60.21260304703092
1000,3187.5,60.21495784490163
1000,3218.75,60.21732932218302
1000,3250.0,60.219717621500706
1000,3281.25,60.22212287964464
1000,3312.5,60.224545227823825
1000,3343.75,60.2269847919088
1000,3375.0,60.22944169266255
1000,3406.25,60.231916045960375
1000,3437.5,60.23440796299935
1000,3468.75,60.23691755049777
1000,3500.0,60.23944491088522
1000,3531.25,60.24199014248355
1000,3562.5,60.2445533396795
1000,3593.75,60.24713459308902
1000,3625.0,60.24973398971405
1000,3656.25,60.25235161309192
